v1,v2,length
0,probably money worries things coming due several outstanding invoices work two three months ago,124
0,possible teach,41
0,wonder phone battery went dead tell love babe,75
0,lovely smell bus aint tobacco,45
0,getting worried derek taylor already assumed worst,82
0,hey whats charles sorry late reply,47
1,lastest stereophonics marley dizzee racal libertines strokes win nookii games flirt click themob wap bookmark text wap 82468,156
0,ill give plus said grinule greet whenever speak,77
0,white fudge oreos stores,31
1,january male sale hot gay chat cheaper call 08709222922 national rate 15pmin cheap 78pmin peak stop texts call 08712460324 10pmin,144
0,love come took long leave zahers got words ym happy see sad left miss,142
0,sorry hurt,22
0,cant feel nauseous im pissed didnt eat sweets week cause today planning pig dieting week im hungry,149
0,ok lor early still project meeting,60
0,call da waiting call,37
0,could ask carlos could get anybody else chip,67
0,actually send reminder today wonderful weekend,72
0,people see msgs think iam addicted msging wrong bcoz dont know iam addicted sweet friends bslvyl,137
0,hey gave photo registered driving ah tmr wanna meet yck,86
0,dont talk ever ok word,36
0,u wana see,23
0,way school pls send ashleys number,54
0,shall fine avalarr hollalater,51
0,went attend another two rounds todaybut still didt reach home,68
0,actually deleted old websitenow blogging magicalsongsblogspotcom,76
0,k wait chikkuil send aftr ltgt mins,36
0,im diet ate 1 many slices pizza yesterday ugh im always diet,87
0,ki give kvb acc details,31
0,oh come ah,22
1,money r lucky winner 2 claim prize text money 2 88600 å£1million give away ppt150x3normal text rate box403 w1t1jy,134
0,im really sorry wont b able 2 fridayhope u find alternativehope yr terms going ok,98
0,congratulations ore mo owo wa enjoy wish many happy moments fro wherever go,102
0,samus shoulders yet,34
0,time think youll need know near campus,75
1,dear matthew please call 09063440451 landline complimentary 4lux tenerife holiday å£1000 cash await collection ppm150 sae tcs box334 sk38xh,154
0,dun wear jeans lor,23
0,since side fever vomitin,43
0,kkare college,20
1,urgent call 09061749602 landline complimentary 4 tenerife holiday å£10000 cash await collection sae tcs box 528 hp20 1yf 150ppm 18,143
0,better made friday stuffed like pig yesterday feel bleh least writhing pain kind bleh,129
0,sell well tons coins sell coins someone thru paypal voila money back life pockets,120
0,theyre lots places hospitals medical places safe,76
1,getting touch folks waiting company txt back name age opt enjoy community 150psms,127
0,also ive sorta blown couple times recently id rather text blue looking weed,115
0,sent scores sophas secondary application schools think thinking applying research cost also contact joke ogunrinde school one less expensive ones,217
0,cant wait see photos useful,55
1,ur cashbalance currently 500 pounds maximize ur cashin send go 86688 150pmsg cc 08718720201 po box 11414 tcrw1,129
0,hey booked kb sat already lessons going ah keep sat night free need meet confirm lodging,139
0,chk ur belovd ms dict,24
0,time want come,37
0,awesome lemme know whenever youre around,40
0,shb b ok lor thanx,18
0,beautiful truth gravity read carefully heart feels light someone feels heavy someone leaves good night,148
0,also remember get dobbys bowl car,46
1,filthy stories girls waiting,41
0,sorry c ur msg yar lor poor thing 4 one night tmr ull brand new room 2 sleep,109
0,love isnt decision feeling could decide love life would much simpler less magical,119
0,welp apparently retired,26
0,sort code acc bank natwest reply confirm ive sent right person,110
0,,6
0,u sure u cant take sick time,32
1,urgent trying contact u todays draw shows å£800 prize guaranteed call 09050001808 land line claim m95 valid12hrs,152
0,watching cartoon listening music amp eve go temple amp church u,84
0,yo chad gymnastics class wanna take site says christians class full,87
0,much buzy,22
0,better still catch let ask sell ltgt,79
0,sure night menu know noon menu,60
0,u want come backa beautiful necklace token heart youthats give wife likingbe seeno one give thatdont call mei wait till come,211
0,willing go aptitude class,40
0,wont b 215 trying 2 sort house ok,57
0,yar lor wan 2 go c horse racing today mah eat earlier lor ate chicken rice u,84
0,haha awesome omw back,30
0,yup thk e shop closes lor,36
0,account number,27
0,eh u send wrongly lar,21
0,hey ad crap nite borin without ya 2 boggy u boring biatch thanx u wait til nxt time il ave ya,117
0,ok shall talk,22
0,dont hesitate know second time weakness like keep notebook eat day anything changed day sure nothing,208
0,hey pay salary de ltgt,42
0,another month need chocolate weed alcohol,47
0,started searching get job dayshe great potential talent,85
0,reckon need town eightish walk carpark,59
1,congrats 2 mobile 3g videophones r call 09063458130 videochat wid mates play java games dload polyph music noline rentl,134
0,look fuckin time fuck think,53
0,yo guess dropped,28
0,carlos says hell mu ltgt minutes,43
0,im office call ltgt min,44
0,geeee miss already know think fuck cant wait till next year together loving kiss,132
0,yun ahthe ubi one say ì wan call tomorrowcall 67441233 look ireneere got bus822656166382 ubi cresubi tech park6ph 1st 5wkg daysì¬n,149
0,ugh gotta drive back sd la butt sore,50
0,26th july,12
0,hi im relaxing time ever get 7am every day party good night get home tomorrow 5ish,138
0,ì ìï wan come come lor din c stripes skirt,63
0,xmas story peace xmas msg love xmas miracle jesus hav blessed month ahead amp wish u merry xmas,118
0,cant dont number,29
0,change e one next escalator,40
0,yetunde im class run water make ok pls,69
0,lot happened feels quiet beth aunts charlie working lots helen mo,143
0,ì wait 4 bus stop aft ur lect lar dun c ì go get car come back n pick ì,102
0,aight thanks comin,40
0,nobut heard abt tat,19
1,please call customer service representative freephone 0808 145 4742 9am11pm guaranteed å£1000 cash å£5000 prize,147
0,yeshe really greatbhaji told kallis best cricketer sachin worldvery tough get,96
0,ltgt think say syllabus,39
0,umma say anything,25
0,give sec think think,37
1,panasonic bluetoothhdset free nokia free motorola free doublemins doubletxt orange contract call mobileupd8 08000839402 call 2optout,144
0,dont quite know still cant get hold anyone cud pick bout 730pm see theyre pub,125
0,poyyarikaturkolathupalayamunjalur posterode dis ltgt,53
0,dear heroi leaving qatar tonite apt opportunitypls keep touch ltemailgt kerala,101
0,lol would mom would fit tell whole family crazy terrible,93
0,got home babe still awake,41
0,dunno close oredi ìï v fan,40
0,buy pizza meat lovers supreme u get pick,53
0,ya toldshe asking wats matter,33
0,dearregret cudnt pick calldrove frm ctla cochin homeleft mobile carente style ishtamayoohappy bakrid,117
1,free 1st week no1 nokia tone 4 ur mob every week txt nokia 8007 get txting tell ur mates wwwgetzedcouk pobox 36504 w45wq norm150ptone 16,152
0,shall send exe mail id,37
0,nope watching tv home going v bored,46
0,knowwait check,28
0,good afternoon glorious anniversary day sweet j hope finds happy content prey think send teasing kiss across sea coaxing images fond souveniers cougarpen,215
1,guess somebody know secretly fancies wanna find give us call 09065394514 landline datebox1282essexcm61xn 150pmin 18,152
0,still tonight,23
0,may call later pls,24
0,hasnt pattern recently crap weekends,50
0,sore throat scratches talk,46
0,yes da plm ur office,27
0,around still asleep v,41
0,lol forgot eh yes ill bring babe,46
0,good well find way,24
0,use foreign stamps country good lecture,56
0,yup bathe liao,14
0,happy new year no1 man,25
0,oh mr sheffield wanna play game okay youre boss im nanny give raise ill give one,118
0,zoe hit 2 im fucking shitin il defo try hardest 2 cum 2morow luv u millions lekdog,103
0,hello baby get back moms setting computer filling belly goes loverboy miss already sighs,146
0,blankets sufficient thx,33
0,naughty little thought better flirt flirt n flirt rather loving someone n gettin hurt hurt n hurt gud nyt,117
0,edison rightly said fool ask questions wise man answer know us speechless viva gm,137
0,talking thats de wont,49
0,today going college able atten class,59
0,im class holla later,28
0,easy ahsen got selected means good,38
0,mmm thats better got roast iåõd b better drinks 2 good indian,100
1,know someone know fancies call 09058097218 find pobox 6 ls15hb 150p,98
0,come round,16
0,1 thing change sentence want 2 concentrate educational career im leaving,106
1,1000s flirting txt girl bloke ur name age eg girl zoe 18 8007 join get chatting,98
0,walked hour 2 c u doesnåõt show care wont u believe im serious,76
1,18 days euro2004 kickoff u kept informed latest news results daily unsubscribe send get euro stop 83222,132
0,available soiree june 3rd,40
0,u noe wat time e place dat sells 4d closes,45
0,got another job one hospital data analysis something starts monday sure thesis got finished,133
0,jays getting really impatient belligerent,45
0,hiya comin 2 bristol 1 st week april les got rudi new yrs eve snoringthey drunk u bak college yet work sends ink 2 bath,151
0,im work please call,22
0,u drive lor,16
0,ard 515 like dat,18
0,tell theyre female v howre throwing deciding get,79
1,eastenders tv quiz flower dot compare violet e tulip f lily txt e f 84025 4 chance 2 win å£100 cash wkent150p16,146
0,im working technical support voice processnetworking field,58
0,might come kerala 2 daysso prepared take leave finalise dont plan travel visitneed finish urgent works,151
0,ok sure time tho sure get library class try see point good eve,117
1,new local dates area lots new people registered area reply date start 18 wwwflirtpartyus replys150,138
0,thats fine ill bitch later,47
0,mum went 2 dentist,24
0,free call sir waiting,42
0,meeting u work tel shall work tomorrow,62
1,someone u know asked dating service 2 contact cant guess call 09058091854 revealed po box385 m6 6wu,131
0,jus finish bathing,18
0,alright ill make sure car back tonight,45
1,urgent trying contact u todays draw shows å£800 prize guaranteed call 09050003091 land line claim c52 valid12hrs,152
1,dear uve invited xchat final attempt contact u txt chat 86688,87
0,lul im gettin juicy gossip hospital two nurses talking fat gettin one thinks shes obese oyea,131
0,aight ill get fb couple minutes,39
0,oi ami parchi na kicchu kaaj korte iccha korche na phone ta tul na plz plz,77
0,download clear movies dvd copies,42
0,yep pretty sculpture,27
0,convey regards,24
0,watching surya movie 6 pm vijay movie pokkiri,64
0,tell happen dont behave like ok need say,66
0,u get pic msgs phone,32
0,send someone else,21
0,wat makes people dearer de happiness dat u feel u meet de pain u feel u miss dem,116
0,love start attractioni feel need every time around meshe first thing comes thoughtsi would start day end hershe every time dreamlove every breath namemy life happen around hermy life named heri would cry herwill give happiness take sorrowsi ready fight anyone heri love craziest things herlove dont proove anyone girl beautiful lady whole planeti always singing praises herlove start making chicken curry end makiing sambarlife beautiful thenwill get every morning thank god day mei would like say lotwill tell later,888
0,frndship like needle clock though v r clock v r nt able 2 met evn v meetitz 4few seconds bt v alwys stay conected gud 9t,148
0,dont think spatula hands,33
0,never nothing,24
1,awarded sipix digital camera call 09061221061 landline delivery within 28days cs box177 m221bp 2yr warranty 150ppm 16 p på£399,144
0,goodmorning today late ltdecimalgt min,48
1,win urgent mobile number awarded å£2000 prize guaranteed call 09061790121 land line claim 3030 valid 12hrs 150ppm,145
0,please da call mistake side sorry da pls da goto doctor,70
0,r meeting,18
0,well weather calis great complexities great need car move freely taxes outrageous great place sad part missing home,181
0,reached home tired come tomorro,66
0,ryder unsoldnow gibbs,21
1,dear subscriber ur draw 4 å£100 gift voucher b entered receipt correct ans elvis presleys birthday txt answer 80062,140
0,dont fret ill buy ovulation test strips send wont get til like march send postal addressull alrightokay,151
0,gifts trying get throw cliff something,70
0,ne thing interesting good birthday u wrking nxt started uni today,102
0,busy come point figure tomorrow,79
0,yeah go bored depressed sittin waitin phone ring hope wind drops though scary,100
0,black shirt n blue jeans thk c ì,36
0,aiyah sorry lor watch tv watch forgot 2 check phone,64
1,message important information o2 user today lucky day 2 find log onto httpwwwurawinnercom fantastic surprise awaiting,152
0,hen night going swing,31
0,good afternoon love goes day woke early online waiting hmmm italian boy online see grins,146
0,someone smoke every time ive smoked last two weeks calling texting wanted smoke,139
0,youll get headache trying figure u trust math promise,94
0,sfirst timedhoni rocks,24
0,ok ill tell company,23
0,awesome think get 8th usf time tonight,56
0,means still think teju,37
0,im good movie ok leave hourish,58
0,nothis kallis home groundamla home town durban,55
0,lets make saturday monday per convenience,53
0,hey time driving fri go evaluation fri,64
1,449050000301 å£2000 price claim call 09050000301,66
0,im going 4 lunch wif family aft dat go str 2 orchard lor,70
1,bored speed dating try speedchat txt speedchat 80155 dont like em txt swap get new chatter chat80155 pobox36504w45wq 150pmsg rcd 16,150
0,cancel cheyyamoand get money back,38
1,want 750 anytime network mins 150 text new video phone five pounds per week call 08000776320 reply delivery tomorrow,153
0,okok okthenwhats ur todays plan,31
0,good morning princess,33
0,aiyar sorry lor forgot 2 tell u,31
1,taking part mobile survey yesterday 500 texts 2 use however wish 2 get txts send txt 80160 tc wwwtxt43com 150p,150
0,tonight mate catching sleep new number way,76
0,height oh shit situation guy throws luv letter gal falls brothers head whos gay,104
1,ur hmv quiz cashbalance currently å£500 maximize ur cashin send hmv1 86688 150pmsg,101
0,check errors difficulties correction,62
0,howz painhope u r fine,22
0,sorry ill call later,20
0,good morning princess,33
0,entered cabin pa said happy bday boss felt special askd 4 lunch lunch invited apartment went,143
0,u wake already thanx 4 e tau sar piah quite nice,55
0,k need login anything,31
1,dont forget place many free requests 1stchoicecouk wish information call 08707808226,116
0,lol busy,21
0,u wearing,15
0,messagesome text missing sendername missing number missing sentdate missing missing u lot thats everything missing sent via fullonsmscom,143
0,ohas usual vijay film different,38
1,dont know u u dont know send chat 86688 lets find 150pmsg rcvd hgsuite3422landsroww1j6hl ldn 18 years,145
0,good day mine really busy much tomorrow night,78
0,way send shades stuff wonderful,82
0,really tot ur paper ended long ago wat u copied jus got use u happy lar still haf 2 study,102
1,thank winner notified sms good luck future marketing reply stop 84122 customer services 08450542832,112
0,babe lost,18
0,ok help ask shes working tmr,40
0,im driving raining ill get caught e mrt station lor,63
0,drop tank,22
0,said text one time,40
0,sorry ill call later,20
0,ok go change also,19
1,1000s girls many local 2 u r virgins 2 r ready 2 4fil ur every sexual need u 4fil text cute 69911å£150p,132
0,u find sitter kaitlyn sick slept day yesterday,70
0,sorry man accidentally left phone silent last night didnt check til got,89
0,hey something came last min think wun signing tmr hee,64
0,hes adult would learn experience theres real danger dont like peeps using drugs dont need comment,135
0,hey theres veggie pizza,24
0,yun buying school got offer 2000 plus,46
0,sure neighbors didnt pick,40
0,k sent,22
1,free entry 2 wkly comp win fa cup final tkts 21st may 2005 text fa 87121 receive entry questionstd txt ratetcs apply 08452810075over18s,149
0,new theory argument wins situation loses person dont argue ur friends kick amp say im always correct,131
0,well im computerless time make oreo truffles,52
0,haha yeah see sec,42
0,number sir,30
0,lol im hot air balloon,37
0,ok bus come soon come otherwise tomorrow,67
0,msgs r time passthey silently say thinking u right also making u think least 4 moment gd ntswt drms shesil,142
0,yeah probably swing roommate finishes girl,72
1,got takes 2 take part wrc rally oz u lucozade energy text rally le 61200 25p see packs lucozadecoukwrc itcould u,149
0,happy new years melody,22
0,ìï dun need pick ur gf,25
0,yay better told 5 girls either,57
0,horrible u eat macs eat u forgot abt already rite u take long 2 reply thk toot b4 b prepared wat shall eat,143
0,say fantastic chance anything need bigger life lift losing 2 live think would first person 2 die n v q,164
0,nw came hme da,24
0,im outside islands head towards hard rock youll run,63
0,day class class,34
0,im chennai velachery,23
0,flippin shit yet,25
0,k give sec breaking ltgt cstore,43
0,much bad avoid like,37
0,yo around got car back,34
0,annoying isnt,16
0,goodmorning today late ltgt min,41
0,theres point hangin mr right hes makin u happy,66
0,come alivebetter correct good looking figure,70
0,case guess ill see campus lodge,48
0,done,9
0,come home one last time wont anything trust,61
0,night worrying appt shame missed girls night quizzes popcorn hair,130
1,sex ur mobile free sexy pic jordan text babe 88600 every wk get sexy celeb pocketbabecouk 4 pics 16 å£3wk 087016248,148
0,ok c ya,7
1,1 new voicemail please call 08719181503,48
0,said matter mind saying matter,72
0,also knows lunch menu da know,46
0,al moan n e thin goes wrong faultal de arguments r faultfed himso bother hav 2go thanxxx,133
0,neft transaction reference number ltgt rs ltdecimalgt credited beneficiary account ltgt lttimegt ltgt,139
0,otherwise part time job natuition,37
0,know called,20
0,also da feel yesterday night wait til 2day night dear,59
0,thanks understanding ive trying tell sura,58
1,win year supply cds 4 store ur choice worth å£500 enter å£100 weekly draw txt music 87066 tscs wwwldewcomsubs161win150ppmx3,141
0,whole car appreciated last two dad map reading semi argument apart things going ok p,127
1,sim subscriber selected receive bonus get delivered door txt word ok 88600 claim 150pmsg exp 30apr,140
0,need strong arms,34
0,also maaaan missing,31
0,bday real april,26
0,guessin aint gonna 9,39
0,ok come ur home half hour,49
0,yo game almost want go walmart soon,50
0,yeah probably sure ilol let u know personally wuldnt bother ur goin mite well,118
0,ill text creepy like wont think forgot,60
0,would good û ill phone tomo lunchtime shall organise something,80
1,1 new voicemail please call 08719181513,48
0,damn make tonight want wait til tomorrow,69
0,kkim also finewhen complete course,47
0,true passable get high score apply phd get 5years salary makes life easier,114
1,1 nokia tone 4 ur mob every week txt nok 87021 1st tone free get txtin tell ur friends 150ptone 16 reply hl 4info,136
0,prakesh know,21
0,teach apps da come college,41
0,rofl betta invest anti aging products,46
1,winner u specially selected 2 receive å£1000 cash 4 holiday flights inc speak live operator 2 claim 0871277810810,143
0,sir receive account another 1hr time sorry delay,72
1,reply name address receive post weeks completely free accommodation various global locations wwwphb1com ph08700435505150p,156
0,ìll submitting da project tmr rite,40
1,free entry å£250 weekly comp send word enter 84128 18 tc wwwtextcompcom cust care 08712405020,118
0,jus ans lar ull noe later,28
0,want send something sell fast ltgt k easy money,69
0,got things may pub later,47
0,1s finish meeting call,25
0,lol ok ill snatch purse,31
0,hellodrivby0quit edrunk sorry iff pthis makes senrddnot dancce 2 drum n basqihave fun 2nhite x ros xxxxxxx,117
0,opinion 1 2 jada 3 kusruthi 4 lovable 5 silent 6 spl character 7 matured 8 stylish 9 simple pls reply,124
0,much getting,23
0,ur paper e morn aft tmr,32
0,dear relieved westonzoyland going plan end,61
0,hope great new semester wish best made greatness,93
0,oh yes speak txt 2 u hmm u get email,50
0,want show world princess europe,55
0,nobody decide eat dad wants chinese,52
0,shoot im docs waiting room,40
0,im going 4 dinner soon,30
0,hello site download songs urgent pls,53
0,know u mean king havin credit im goin2bed night night sweet only1more sleep,105
0,horrible gal sch stuff come u got mc,57
0,hi hun im comin 2nitetell every1 im sorry 4 hope u ava goodtimeoli rang melnite ifink mite b sortedbut il explain everythin monl8rsx,145
0,call later dont network urgnt sms,50
0,ummmmmaah many many happy returns day dear sweet heart happy birthday dear,82
1,please call 08712402779 immediately urgent message waiting,81
0,yeah like goes like friends imma flip shit like half hour,87
0,mum say wan go go shun bian watch da glass exhibition,78
0,plan pongal,25
0,wait till end march el nino gets oh,56
0,yet chikkugoing room nw im bus,40
0,also cbe pay,41
0,honey boo im missing u,22
0,sent jd customer service cum accounts executive ur mail id details contact us,96
0,yo im parents gettin cash good news picked downstem,65
0,thank much skyped wit kz sura didnt get pleasure company hope good weve given ultimatum oh countin aburo enjoy,171
1,hungry gay guys feeling hungry 4 call 08718730555 10pmin stop texts call 08712460324 10pmin,113
0,ok wahala remember friend need,49
0,see half hour,26
0,im inperialmusic listening2the weirdest track ever byåóleafcutter johnåósounds like insects molestedsomeone plumbingremixed evil men acid,152
0,hey sorry didntgive ya bellearlier hunny,46
0,seriously tell exact words right,46
1,u get 2 phone wanna chat 2 set meet call 09096102316 u cum 2moro luv jane xx callså£1minmoremobsemspobox45po139wa,145
0,tee hee lecture cheery bye bye,37
0,sorry chikku cell got problem thts nt able reply u msg u,78
0,still havent collected dough pls let know go place sent get control number,116
0,ok,2
1,network operator service free cs visit 80488biz,61
0,let know contact ive settled room lets know ok,77
0,wot u 2 u weirdo,19
0,lor,10
0,dont put phone silent mode ok,37
0,meet ì 5 4 depends ì wan 2 lor,60
0,waiting 4 tv show 2 start lor u leh still busy ur report,65
0,oh ho first time u use type words,54
0,one doesnt stalk profiles,43
0,ever green quote ever told jerry cartoon person irritates u always one loves u vry much fails express gud nyt,144
0,yes thought thanks,23
0,shes drinkin im ok,25
0,wondering others took,39
0,night ended another day morning come special way may smile like sunny rays leaves worries blue blue bay gud mrng,153
0,dog must always wait till end day word run time cell already,134
0,happy new year u,23
0,heygreat dealfarm tour 9am 5pm 95pax 50 deposit 16 may,60
0,eat jap done oso aft ur lect wat ìï got lect 12 rite,56
0,hey babe saw came online second disappeared happened,83
0,da birthdate certificate april real date today dont publish shall give special treat keep secret way thanks wishes,171
0,happy birthday may ur dreams come true,42
0,aiyah u ok already lar e nydc wheellock,46
0,tell said eat shit,24
0,sure driving reach destination soon,52
0,k much 8th fifty,35
0,daily text ûò favour time,46
0,great hear settling well whats happenin wit ola,61
0,cocksuckers makes feel better ipads worthless garbage novelty items feel bad even wanting one,132
0,tot u reach liao said tshirt,33
0,fran decided 2 go n e way im completely broke knackered got bout 3 c u 2mrw love janx ps dads fone credit,129
0,cant pick phone right pls send message,50
0,right ill make appointment right,45
0,designation software developer may get chennai,60
1,enjoy jamster videosound gold club credits 2 new videosounds2 logosmusicnews get fun jamstercouk 16only help call 09701213186,154
1,get 3 lions england tone reply lionm 4 mono lionp 4 poly 4 go 2 wwwringtonescouk original n best tones 3gbp network operator rates apply,148
0,jokin oni lar ìï busy wun disturb ì,44
0,ok careful dont text drive,35
0,ill always even spirit ill get bb soon trying sure need,97
0,u r much close heart u go away shattered plz stay,80
0,love u 2 babe r u sure everything alrite idiot txt bak girlie,81
0,abt making pics bigger,38
0,got got 2 colours lor one colour quite light n e darker lor actually im done shes styling hair,117
0,whenevr ur sad whenevr ur gray remembr im 2 listn 2 watevr u wanna say jus walk wid little whileamp promise ill bring back ur smile,143
0,nothing ok anyway give treat,35
1,win newest ûïharry potter order phoenix book 5 reply harry answer 5 questions chance first among readers,135
0,ok,2
0,correct work today,29
0,sent scream moan bed princess,54
0,wake long ago already dunno thing,49
0,oh getting even u u,29
0,thk 50 shd ok said plus minus 10 ì leave line paragraphs,81
0,call plz number shows coveragd area urgnt call vasai amp reach 4o clock call plz,134
0,yeah jays sort fucking retard,34
0,sorry bathroom sup,29
1,ur balance å£500 ur next question sang uptown girl 80s 2 answer txt ur answer 83600 good luck,118
0,exam february 4 wish great day,46
0,dont know come ask questions like dont mistake,93
0,aight rush ill ask jay,25
0,good morning plz call sir,28
0,ok lar u sleep early nite,33
0,oh icic k lor den meet day,32
0,oh half hour much longer syria canada eh wow must get much work done day us extra time grins,144
0,sometimes put walls around heartsnot safe getting hurt find cares enough break walls amp get closer goodnoon,153
0,sweet may may go 4u meet carlos gauge pattys interest,80
0,buying today ìï need c meh,41
0,aight sorry take ten years shower whats plan,53
0,every mondaynxt week vl completing,37
0,might ax well im,22
0,chill another 6hrs could sleep pain surgical emergency see unfolds okay,110
0,yeah ill try scrounge something,37
0,crazy ar hes married ìï like gd looking guys frens like say hes korean leonas fave dun thk aft thinking mayb prob ill go,152
0,somewhere fredericksburg,32
0,que pases un buen tiempo something like,47
0,ok stay night xavier sleeping bag im getting tired,80
0,doesnt need test,24
0,nothing much chillin home super bowl plan,48
1,free2day sexy st georges day pic jordantxt pic 89080 dont miss every wk saucy celeb4 pics c pocketbabecouk 0870241182716 å£3wk,148
0,bugis oso near wat,19
0,yo theres class tmrw right,29
0,let ur heart ur compass ur mind ur map ur soul ur guide u never loose worldgnun sent via way2smscom,115
0,goodnight sleep well da please take care pa please,50
0,baaaaabe misss youuuuu go teach class 5,78
0,convey regards,24
0,u ned convince tht possible witot hurting feeling main,81
0,good afternoon loverboy goes day luck come way think sweetie send love across sea make smile happy,148
0,start sending blackberry torch nigeria find buyer melike 4a month tell dad buy bb anyone oh,128
0,ltgt pple marry lovers becz hav gud undrstndng dat avoids problems sent dis 2 u u wil get gud news friday person like tomorrow best day life dont break chain break suffer send ltgt frnds ltgt mins whn u read,299
0,yo dude guess got arrested day,49
0,shuhui say change 2 suntec steamboat u noe r u,62
0,dance river,28
0,yetunde im sorry moji seem busy able go shopping please find way get wanted us get please forgive reply free via yahoo messenger,201
0,hey really pretty late want go lesson first join im reaching tp mrt,108
1,hot live fantasies call 08707509020 20p per min ntt ltd po box 1327 croydon cr9 5wb 0870k,98
0,bbq sat mine 6ish ur welcome 2 come,48
0,dont know thing thats wrong everyso often panicks starts goin bout bein good enough û,103
0,alright im outhave good night,31
0,try making another butt,31
0,hope feeling great pls fill abiola,48
0,though shd go n fun bar town something ûò sound ok,79
0,1 go write msg 2 put dictionary mode 3cover screen hand 4press ltgt 5gently remove ur hand interesting,123
1,bears pic nick tom pete dick fact types try gay chat photo upload call 08718730666 10pmin 2 stop texts call 08712460324,140
1,500 new mobiles 2004 must go txt nokia 89545 collect todayfrom å£1 www4tcbiz 2optout 08718726270150gbpmtmsg18 txtauction,143
0,finally ready fyi,22
0,auntie huai juan never pick phone,40
1,double mins double txt 12 price linerental latest orange bluetooth mobiles call mobileupd8 latest offers 08000839402 call2optoutlf56,153
0,ya tel wats ur problem,22
1,1 nokia tone 4 ur mob every week txt nok 87021 1st tone free get txtin tell ur friends 150ptone 16 reply hl 4info,136
0,dnt wnt tlk wid u,22
0,spend days waiting ideal path appear front us forget paths made walking waiting goodnight,142
0,ok arm feeling weak cuz got shot go another time,72
0,please reserve ticket saturday eve chennai thirunelvali tirunelvali chennai sunday evei already see netno ticket availablei want book ticket tackle,194
0,storming msg wen u lift phne u say hello u knw wt real meaning hello name girl yes u knw dat girl margaret hello girlfrnd f grahmbell invnted telphone moralone 4get name person,245
0,thats ok popped ask bout something said youd around tonght wen girl comes,110
0,e best 4 ur exam later,26
0,hope ur head doesnt hurt 2 much ploughing way pile ironing staying chinky tonight come round like,135
0,oh ki think wi nz players unsold,44
0,haha got fast lose weight thk muz go 4 month den got effect geelater go aust put bk e weight,106
0,wonder got online love gone net cafe get phone recharged friends net think boytoy,149
0,haha kidding papa needs drugs,34
0,thk shld b ya wana go 4 lessons haha go one whole stretch,71
0,oh ok,5
0,r still meeting 4 dinner tonight,35
0,thats cool gentleman treat dignity respect,71
0,shall start hear,23
0,wait 4 u lor need 2 feel bad lar,43
0,check got detailed message,47
0,registered sinco payee log icicibankcom enter urn ltgt confirm beware frauds share disclose urn anyone,145
0,decided people care stuff vote caring stuff losers,92
0,kaiez enjoy ur tuition gee thk e second option sounds beta ill go yan jiu den msg u,83
0,registered sinco payee log icicibankcom enter urn ltgt confirm beware frauds share disclose urn anyone,145
0,cool fun practicing making babies,46
0,actually getting ready leave house,41
0,kkany special today,19
1,urgent important information o2 user today lucky day 2 find log onto httpwwwurawinnercom fantastic surprise awaiting,155
0,gotta,30
0,ive got ten bucks jay noncomittal,42
0,hungry,24
0,pls speak customer machan,33
0,somewhere beneath pale moon light someone think u dreams come true goodnite amp sweet dreams,139
0,wen ur lovable bcums angry wid u dnt take seriously coz angry childish n true way showing deep affection care n luv kettoda manda nice day da,168
1,dear uve invited xchat final attempt contact u txt chat 86688 150pmsgrcvdhgsuite3422landsroww1j6hl ldn 18 yrs,135
0,wats ur opinion abt abt character,51
0,jay snickering tells x totally fucking chords speak,82
0,nofew hours beforewent hair cut,35
0,wonder cos dun rem seeing silver car thk saw black one,71
0,lmao take pic send,33
0,speak feel words better silence gud mrng,72
0,shes currently scotland,38
0,work week,26
1,congratulations ur awarded either å£500 cd gift vouchers free entry 2 å£100 weekly draw txt music 87066 tncs wwwldewcom 1 win150ppmx3age16,149
0,lol great im getting hungry,31
0,yes saw message,29
0,ill mu like ltgt seconds,35
0,ok,2
0,thing r good thanx got exams march ive done revision fran still boyf ive gotta interviw 4 exeter bit worriedx,123
0,tell make little spreadsheet track whose idea smoke determine smokes much entire month february,149
1,sale arsenal dartboard good condition doubles trebles,68
0,dont look back building coat dont want get sick hurry home wear coat gym,135
0,painful personal thought always try keep everybody happy time nobody recognises alone,118
0,thanks lovely wisheds rock,37
0,intrepid duo great time see soon,61
0,asked sen come chennai search job,46
0,dad went oredi,19
0,jus hope true missin cos im really missin havent done anything feel guilty yet,110
0,wat late still early mah juz go 4 dinner lor aiya dunno,66
0,arms fine hows cardiff uni,31
0,fact leave think addie goes back school tues wed,71
0,cool breeze bright sun fresh flower twittering birds waiting wish u goodmorning amp nice day,113
0,yagoing restaurant,22
0,ok askd u knw tht,35
1,free 1st week entry 2 textpod 4 chance 2 win 40gb ipod å£250 cash every wk txt pod 84128 tscs wwwtextpodnet custcare 08712405020,136
0,ducking chinchillas,25
0,marriage function,27
0,looks like u wil b getting headstart im leaving bout 230ish u r desperate company could head earlierwe goin meet rummer,156
0,donû÷t give flying monkeys wot think certainly donû÷t mind friend mine,105
1,registered optin subscriber ur draw 4 å£100 gift voucher entered receipt correct ans 80062 whats no1 bbc charts,142
0,say thanks2,12
0,msg rajini comes,24
0,ya ì taking ure practical lessons start june,60
0,thats good need drugs,31
0,stupidits possible,22
0,ì decide faster cos sis going home liao,50
